product_name,aspect,score,label
1_roundlab,delivery,1.12,긍정
1_roundlab,spreadability,0.0,중립
1_roundlab,lightweight,0.88,긍정
1_roundlab,oily,0.8,긍정
1_roundlab,texture,0.8,긍정
1_roundlab,pore,0.8,긍정
1_roundlab,white_cast,0.8,긍정
1_roundlab,lightweight,0.8,긍정
1_roundlab,white_cast,-0.8,부정
1_roundlab,hydration,0.96,긍정
1_roundlab,lightweight,0.8,긍정
1_roundlab,absorption,0.8,긍정
1_roundlab,lightweight,-0.8,부정
1_roundlab,watery,0.8,긍정
1_roundlab,sensitive_skintype,-0.8,부정
1_roundlab,hydration,0.8,긍정
1_roundlab,white_cast,-0.8,부정
1_roundlab,watery,-0.8,부정
1_roundlab,texture,0.0,중립
1_roundlab,hydration,0.56,긍정
1_roundlab,price,0.4,긍정
1_roundlab,delivery,0.8,긍정
1_roundlab,scent,0.6,긍정
1_roundlab,sun_protection,0.6,긍정
1_roundlab,white_cast,0.8,긍정
1_roundlab,white_cast,0.4,긍정
1_roundlab,sticky,0.0,중립
1_roundlab,sun_protection,0.8,긍정
1_roundlab,hydration,0.0,중립
1_roundlab,glowy,0.6,긍정
1_roundlab,oily,0.8,긍정
1_roundlab,pilling,0.0,중립
1_roundlab,lightweight,0.8,긍정
1_roundlab,absorption,-0.8,부정
1_roundlab,lightweight,0.8,긍정
1_roundlab,sticky,0.6,긍정
1_roundlab,hydration,0.4,긍정
1_roundlab,texture,0.6,긍정
1_roundlab,finish,0.8,긍정
1_roundlab,lightweight,0.68,긍정
1_roundlab,hydration,0.8,긍정
1_roundlab,glowy,0.8,긍정
1_roundlab,white_cast,0.96,긍정
1_roundlab,pilling,0.0,중립
1_roundlab,texture,0.0,중립
1_roundlab,sticky,0.8,긍정
1_roundlab,hydration,0.68,긍정
1_roundlab,white_cast,0.8,긍정
1_roundlab,lightweight,0.4,긍정
1_roundlab,sun_protection,0.4,긍정
1_roundlab,hydration,0.4,긍정
1_roundlab,eye_irritation,0.84,긍정
1_roundlab,spreadability,0.267,긍정
1_roundlab,texture,0.533,긍정
1_roundlab,sensitive_skintype,0.6,긍정
1_roundlab,price,0.8,긍정
1_roundlab,texture,0.8,긍정
1_roundlab,hydration,1.12,긍정
1_roundlab,normal_skintype,-0.8,부정
1_roundlab,irritation,0.8,긍정
1_roundlab,sensitive_skintype,0.8,긍정
1_roundlab,sun_protection,0.4,긍정
1_roundlab,hydration,0.4,긍정
1_roundlab,consistency,0.4,긍정
1_roundlab,lightweight,0.48,긍정
1_roundlab,glowy,0.4,긍정
1_roundlab,finish,0.4,긍정
1_roundlab,white_cast,-0.96,부정
1_roundlab,glowy,1.12,긍정
1_roundlab,texture,1.12,긍정
1_roundlab,absorption,0.213,긍정
1_roundlab,glowy,0.8,긍정
1_roundlab,white_cast,0.4,긍정
1_roundlab,lightweight,0.8,긍정
1_roundlab,scent,0.8,긍정
1_roundlab,sun_protection,-0.4,부정
1_roundlab,absorption,0.8,긍정
1_roundlab,hydration,0.6,긍정
1_roundlab,spreadability,0.4,긍정
1_roundlab,texture,0.8,긍정
1_roundlab,finish,0.533,긍정
1_roundlab,sensitive_skintype,0.4,긍정
1_roundlab,white_cast,0.4,긍정
1_roundlab,spreadability,0.4,긍정
1_roundlab,sun_protection,0.4,긍정
1_roundlab,hydration,0.4,긍정
1_roundlab,hydration,0.8,긍정
1_roundlab,oily,0.8,긍정
1_roundlab,sticky,0.4,긍정
1_roundlab,spreadability,0.4,긍정
1_roundlab,white_cast,0.4,긍정
1_roundlab,consistency,0.4,긍정
1_roundlab,sticky,-0.8,부정
1_roundlab,price,0.8,긍정
1_roundlab,lightweight,0.8,긍정
1_roundlab,absorption,0.56,긍정
1_roundlab,hydration,0.56,긍정
1_roundlab,hydration,0.8,긍정
1_roundlab,hydration,1.12,긍정
1_roundlab,lightweight,0.4,긍정
1_roundlab,sticky,0.4,긍정
1_roundlab,lightweight,1.12,긍정
1_roundlab,sticky,0.8,긍정
1_roundlab,texture,0.96,긍정
1_roundlab,lightweight,0.0,중립
1_roundlab,acne,-0.4,부정
1_roundlab,texture,0.56,긍정
1_roundlab,lightweight,0.56,긍정
1_roundlab,absorption,0.56,긍정
1_roundlab,price,0.56,긍정
1_roundlab,texture,0.56,긍정
1_roundlab,sun_protection,0.6,긍정
1_roundlab,white_cast,0.4,긍정
1_roundlab,hydration,0.4,긍정
1_roundlab,white_cast,-0.2,부정
1_roundlab,white_cast,0.267,긍정
1_roundlab,oily,0.8,긍정
